product_title,product_id,variant_id,sku,price,product_collection,title_equals_collection,published_at,product_count_match,handle,slugified_title,handle_ok,template_suffix,product_status
Sparrow - 2 Items,6.90644E+12,3.97285E+13,7.19408E+11,44.95,Sparrow - 2 Items,TRUE,2022-09-23T11:33:35-07:00,TRUE,sparrow-2-items,sparrow-2-items,TRUE,current-collection-may2018,
Sparrow - 3 Items,6.90644E+12,3.97285E+13,7.19408E+11,49.95,Sparrow - 3 Items,TRUE,2022-09-23T11:34:43-07:00,TRUE,sparrow-3-items,sparrow-3-items,TRUE,current-collection-may2018,
Sparrow - 5 Items,6.90644E+12,3.97285E+13,7.19408E+11,59.95,Sparrow - 5 Items,TRUE,2022-09-23T11:35:44-07:00,TRUE,sparrow-5-items,sparrow-5-items,TRUE,current-collection-may2018,
Stardust - 2 Items,6.69177E+12,3.9484E+13,7.45935E+11,44.95,Stardust - 2 Items,TRUE,2021-11-23T16:39:23-08:00,TRUE,stardust-2-items,stardust-2-items,TRUE,current-collection-may2018,
Stardust - 3 Items,6.69224E+12,3.94846E+13,7.45935E+11,49.95,Stardust - 3 Items,TRUE,2021-11-24T09:54:43-08:00,TRUE,stardust-3-items,stardust-3-items,TRUE,current-collection-may2018,
Stardust - 5 Items,6.69229E+12,3.94847E+13,7.45935E+11,59.95,Stardust - 5 Items,TRUE,2021-11-24T12:04:27-08:00,TRUE,stardust-5-items,stardust-5-items,TRUE,current-collection-may2018,
Sugar And Spice - 2 Items,6.93169E+12,3.97567E+13,7.19408E+11,44.95,Sugar And Spice - 2 Items,TRUE,2022-10-21T10:09:44-07:00,TRUE,sugar-and-spice-2-items,sugar-and-spice-2-items,TRUE,current-collection-may2018,
Sugar And Spice - 3 Items,6.9317E+12,3.97567E+13,7.19408E+11,49.95,Sugar And Spice - 3 Items,TRUE,2022-10-21T10:33:35-07:00,TRUE,sugar-and-spice-3-items,sugar-and-spice-3-items,TRUE,current-collection-may2018,
Sugar And Spice - 5 Items,6.93171E+12,3.97567E+13,7.19408E+11,59.95,Sugar And Spice - 5 Items,TRUE,2022-10-21T10:36:08-07:00,TRUE,sugar-and-spice-5-items,sugar-and-spice-5-items,TRUE,current-collection-may2018,
---------- Detail Product Collection info ------------,,,,,,,,,,,,,
product_collection,product_name,product_type,template_suffix,options,equipment_found,accessories_found,product_status,product_status_ok,product_type_ok,,,,
Black Tie - 2 Items,Pandora Pullover (White),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 2 Items,Revive Legging (Black/ White),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 3 Items,Mara Sport Bra (Black/ White),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 3 Items,Pandora Pullover (White),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 3 Items,Revive Legging (Black/ White),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 5 Items,Mara Sport Bra (Black/ White),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 5 Items,Marble Massager (Shell Coral),Accessories,not-for-sale,Size,,1,active,TRUE,TRUE,,,,
Black Tie - 5 Items,Pandora Pullover (White),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 5 Items,Revive Legging (Black/ White),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Black Tie - 5 Items,Therapy Bands (3),Equipment,not-for-sale,Size,1,,active,TRUE,TRUE,,,,
Blue Moon - 2 Items,Audrey Legging (Crown Blue),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Blue Moon - 2 Items,Celia Tank (Crown Blue),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Blue Moon - 3 Items,Audrey Legging (Crown Blue),Leggings,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Blue Moon - 3 Items,Celia Tank (Crown Blue),Tops,not-for-sale,Size,,,active,TRUE,TRUE,,,,
Blue Moon - 3 Items,Evie Seamless Sport Bra (Crown Blue),Sports Bra,not-for-sale,Size,,,active,TRUE,TRUE,,,,
